SubjectNumber,SessionNumber,SOA,PrimeCondition,Accuracy,Mean RT,StDev RT
17,2,200,first associate unrelated,0.98,668.88,160.62
17,2,200,other associate unrelated,1.00,631.48,151.56
17,2,1200,first associate related,0.98,604.77,124.23
17,2,1200,other associate related,0.98,615.84,133.97
17,2,1200,first associate unrelated,1.00,616.37,112.10
17,2,1200,other associate unrelated,1.00,642.69,140.31
18,1,200,first associate related,0.90,429.11,81.24
18,1,200,other associate related,0.92,428.96,116.39
18,1,200,first associate unrelated,0.85,441.48,77.05
18,1,200,other associate unrelated,0.85,436.48,112.78
18,1,1200,first associate related,0.90,400.62,75.71
18,1,1200,other associate related,0.92,458.10,229.35
18,1,1200,first associate unrelated,0.94,389.63,78.36
18,1,1200,other associate unrelated,0.92,414.58,80.78
18,2,200,first associate related,0.92,623.70,403.07
18,2,200,other associate related,0.85,577.52,203.57
18,2,200,first associate unrelated,0.85,729.84,572.39
18,2,200,other associate unrelated,0.87,654.48,438.45
18,2,1200,first associate related,0.98,503.94,112.56
18,2,1200,other associate related,0.96,487.80,80.62
18,2,1200,first associate unrelated,0.87,507.16,100.75
18,2,1200,other associate unrelated,0.88,537.78,113.01
19,1,200,first associate related,0.98,565.61,176.44
19,1,200,other associate related,0.98,559.68,192.85
19,1,200,first associate unrelated,0.98,563.25,154.86
19,1,200,other associate unrelated,1.00,584.33,169.98
19,1,1200,first associate related,1.00,647.98,149.45
19,1,1200,other associate related,1.00,683.27,271.31
19,1,1200,first associate unrelated,0.98,683.54,199.43
19,1,1200,other associate unrelated,0.96,671.38,184.61
19,2,200,first associate related,0.98,546.45,132.56
19,2,200,other associate related,1.00,598.79,162.98
19,2,200,first associate unrelated,1.00,595.37,213.80
19,2,200,other associate unrelated,1.00,617.79,236.80
19,2,1200,first associate related,1.00,599.06,137.42
19,2,1200,other associate related,0.96,649.96,256.92
19,2,1200,first associate unrelated,1.00,629.25,135.36
19,2,1200,other associate unrelated,0.98,598.45,153.63
20,1,200,first associate related,0.90,747.30,258.63
20,1,200,other associate related,0.96,732.06,230.83
20,1,200,first associate unrelated,0.92,721.46,247.33
20,1,200,other associate unrelated,0.92,699.40,229.57
20,1,1200,first associate related,0.96,643.12,176.92
20,1,1200,other associate related,0.98,694.00,190.04
20,1,1200,first associate unrelated,0.92,764.19,258.48
20,1,1200,other associate unrelated,0.98,714.72,214.78
20,2,200,first associate related,0.98,614.55,174.41
20,2,200,other associate related,1.00,643.25,174.20
20,2,200,first associate unrelated,0.98,636.96,175.09
20,2,200,other associate unrelated,0.96,646.58,175.17
20,2,1200,first associate related,0.98,584.41,158.58
20,2,1200,other associate related,0.96,540.42,102.75
20,2,1200,first associate unrelated,1.00,621.12,179.87
20,2,1200,other associate unrelated,0.94,640.10,232.51
21,1,200,first associate related,0.88,715.67,313.44
21,1,200,other associate related,0.92,706.77,300.51
21,1,200,first associate unrelated,0.88,770.43,245.42
21,1,200,other associate unrelated,0.85,710.84,295.09
21,1,1200,first associate related,0.88,643.63,174.51
21,1,1200,other associate related,0.85,663.23,279.26
21,1,1200,first associate unrelated,0.96,746.48,375.36
21,1,1200,other associate unrelated,0.90,615.13,118.49
21,2,200,first associate related,0.96,639.41,160.14
21,2,200,other associate related,0.92,614.12,142.12
21,2,200,first associate unrelated,0.92,632.72,153.98
21,2,200,other associate unrelated,0.83,625.51,161.18
21,2,1200,first associate related,1.00,672.92,260.18
21,2,1200,other associate related,0.96,651.20,151.53
21,2,1200,first associate unrelated,0.94,644.92,132.18
21,2,1200,other associate unrelated,0.96,733.80,183.70
22,1,200,first associate related,1.00,717.79,145.29
22,1,200,other associate related,1.00,793.37,241.90
22,1,200,first associate unrelated,0.96,779.14,179.17
22,1,200,other associate unrelated,0.98,764.29,211.12
22,1,1200,first associate related,1.00,642.58,144.27
22,1,1200,other associate related,0.98,670.33,169.74
22,1,1200,first associate unrelated,0.96,718.10,226.32
22,1,1200,other associate unrelated,0.98,666.80,163.76
22,2,200,first associate related,0.98,1182.76,374.61
22,2,200,other associate related,1.00,1097.50,342.40
22,2,200,first associate unrelated,1.00,1140.48,284.10
22,2,200,other associate unrelated,1.00,1117.00,238.66
22,2,1200,first associate related,0.98,886.47,354.86
22,2,1200,other associate related,1.00,886.02,353.40
22,2,1200,first associate unrelated,1.00,819.54,312.73
22,2,1200,other associate unrelated,1.00,865.57,371.16
23,1,200,first associate related,0.96,785.70,260.59
23,1,200,other associate related,0.98,771.86,248.12
23,1,200,first associate unrelated,0.98,817.94,252.87
23,1,200,other associate unrelated,0.98,806.92,289.62
23,1,1200,first associate related,0.98,989.47,340.55
23,1,1200,other associate related,0.98,861.94,301.65
23,1,1200,first associate unrelated,1.00,992.87,346.06
23,1,1200,other associate unrelated,0.96,1037.78,350.68
23,2,200,first associate related,0.98,960.51,458.39
23,2,200,other associate related,0.94,950.61,429.77
23,2,200,first associate unrelated,0.94,854.14,230.08
23,2,200,other associate unrelated,0.98,886.43,256.71
23,2,1200,first associate related,0.98,1261.92,450.39
23,2,1200,other associate related,1.00,1247.96,392.87
23,2,1200,first associate unrelated,1.00,1178.35,363.67
23,2,1200,other associate unrelated,0.96,1292.68,403.44
24,1,200,first associate related,1.00,758.44,168.40
24,1,200,other associate related,0.98,749.71,174.15
24,1,200,first associate unrelated,1.00,777.27,239.39
24,1,200,other associate unrelated,1.00,811.71,236.77
24,1,1200,first associate related,1.00,815.12,273.15
24,1,1200,other associate related,1.00,784.62,288.33
24,1,1200,first associate unrelated,1.00,760.25,167.02
24,1,1200,other associate unrelated,1.00,807.54,176.98
24,2,200,first associate related,1.00,740.73,183.27
24,2,200,other associate related,1.00,719.06,196.14
24,2,200,first associate unrelated,1.00,783.06,226.86
24,2,200,other associate unrelated,1.00,796.04,173.97
24,2,1200,first associate related,1.00,697.67,210.72
24,2,1200,other associate related,1.00,734.77,201.96
24,2,1200,first associate unrelated,1.00,741.54,201.44
24,2,1200,other associate unrelated,1.00,700.88,186.82
25,1,200,first associate related,0.94,880.98,302.12
25,1,200,other associate related,0.96,916.64,318.65
25,1,200,first associate unrelated,0.98,1005.69,345.42
25,1,200,other associate unrelated,0.96,1009.22,286.17
25,1,1200,first associate related,1.00,874.36,264.27
25,1,1200,other associate related,0.92,870.19,233.79
25,1,1200,first associate unrelated,0.98,897.35,321.68
25,1,1200,other associate unrelated,0.92,913.67,252.76
25,2,200,first associate related,1.00,1161.20,364.10
25,2,200,other associate related,0.92,1273.44,351.81
25,2,200,first associate unrelated,0.94,1261.06,407.48
25,2,200,other associate unrelated,0.92,1222.46,298.76
25,2,1200,first associate related,0.92,1241.21,317.89
25,2,1200,other associate related,0.98,1236.75,404.17
25,2,1200,first associate unrelated,0.94,1098.08,332.35
25,2,1200,other associate unrelated,0.92,1199.23,395.34
26,1,200,first associate related,0.94,511.56,103.32
26,1,200,other associate related,0.96,521.16,77.73
26,1,200,first associate unrelated,0.94,584.24,135.37
26,1,200,other associate unrelated,0.89,533.64,99.32
26,1,1200,first associate related,0.98,427.12,82.22
26,1,1200,other associate related,1.00,441.19,94.60
26,1,1200,first associate unrelated,0.98,460.29,96.82
26,1,1200,other associate unrelated,1.00,454.86,172.87
26,2,200,first associate related,1.00,485.69,104.92
26,2,200,other associate related,0.98,479.59,92.70
26,2,200,first associate unrelated,0.98,509.75,93.76
26,2,200,other associate unrelated,0.94,502.68,81.50
26,2,1200,first associate related,0.98,440.55,68.82
26,2,1200,other associate related,0.98,450.18,95.77
26,2,1200,first associate unrelated,0.98,465.02,76.77
26,2,1200,other associate unrelated,0.98,472.39,81.49
27,1,200,first associate related,0.94,573.47,141.40
27,1,200,other associate related,0.98,562.49,120.27
27,1,200,first associate unrelated,0.96,581.56,136.94
27,1,200,other associate unrelated,0.98,638.37,302.53
27,1,1200,first associate related,0.92,551.19,93.00
27,1,1200,other associate related,0.96,615.84,161.34
27,1,1200,first associate unrelated,0.98,619.39,290.13
27,1,1200,other associate unrelated,0.94,602.76,136.56
27,2,200,first associate related,1.00,524.85,91.29
27,2,200,other associate related,1.00,572.58,146.91
27,2,200,first associate unrelated,0.98,567.90,115.54
27,2,200,other associate unrelated,0.96,589.62,163.87
27,2,1200,first associate related,0.96,567.40,178.27
27,2,1200,other associate related,1.00,607.02,141.88
27,2,1200,first associate unrelated,0.98,647.51,291.67
27,2,1200,other associate unrelated,1.00,646.24,200.23
28,1,200,first associate related,0.96,564.68,143.69
28,1,200,other associate related,0.96,644.31,179.81
28,1,200,first associate unrelated,0.90,649.09,149.38
28,1,200,other associate unrelated,0.94,627.78,174.81
28,1,1200,first associate related,0.96,610.96,170.21
28,1,1200,other associate related,0.96,568.98,113.07
28,1,1200,first associate unrelated,0.98,599.63,153.17
28,1,1200,other associate unrelated,0.96,638.38,237.72
28,2,200,first associate related,1.00,598.56,162.26
28,2,200,other associate related,0.96,621.98,183.91
28,2,200,first associate unrelated,0.96,641.72,192.94
28,2,200,other associate unrelated,0.87,639.58,142.91
28,2,1200,first associate related,0.98,595.88,139.06
28,2,1200,other associate related,1.00,584.40,211.11
28,2,1200,first associate unrelated,0.96,607.14,119.10
28,2,1200,other associate unrelated,0.92,610.63,153.14
29,1,200,first associate related,0.98,722.39,295.02
29,1,200,other associate related,1.00,670.27,217.89
29,1,200,first associate unrelated,0.94,716.00,213.16
29,1,200,other associate unrelated,0.96,837.04,418.00
29,1,1200,first associate related,1.00,707.37,202.10
29,1,1200,other associate related,1.00,789.87,328.09
29,1,1200,first associate unrelated,0.94,723.39,130.56
29,1,1200,other associate unrelated,0.96,794.59,178.08
29,2,200,first associate related,1.00,669.02,136.33
29,2,200,other associate related,0.92,702.56,199.91
29,2,200,first associate unrelated,0.98,789.71,277.35
29,2,200,other associate unrelated,0.94,780.94,257.82
29,2,1200,first associate related,0.94,792.12,271.14
29,2,1200,other associate related,0.96,807.52,310.77
29,2,1200,first associate unrelated,0.98,779.59,290.88
29,2,1200,other associate unrelated,0.94,776.82,212.58
30,1,200,first associate related,0.98,774.04,196.29
30,1,200,other associate related,1.00,774.70,212.60
30,1,200,first associate unrelated,1.00,753.82,178.45
30,1,200,other associate unrelated,0.98,786.10,173.65
30,1,1200,first associate related,0.98,796.25,238.05
30,1,1200,other associate related,1.00,800.88,218.92
30,1,1200,first associate unrelated,0.98,827.45,201.70
30,1,1200,other associate unrelated,1.00,795.44,215.18
30,2,200,first associate related,1.00,682.81,196.97
30,2,200,other associate related,1.00,668.87,251.01
30,2,200,first associate unrelated,1.00,691.90,227.87
30,2,200,other associate unrelated,1.00,660.42,207.27
30,2,1200,first associate related,0.98,805.20,345.20
30,2,1200,other associate related,0.94,735.18,220.07
30,2,1200,first associate unrelated,0.96,807.02,288.49
30,2,1200,other associate unrelated,0.96,769.66,231.16
31,1,200,first associate related,1.00,910.94,296.33
31,1,200,other associate related,0.96,1016.38,370.90
31,1,200,first associate unrelated,0.98,1079.53,258.31
31,1,200,other associate unrelated,1.00,976.88,323.32
31,1,1200,first associate related,0.98,1218.04,226.32
31,1,1200,other associate related,1.00,1200.54,221.90
31,1,1200,first associate unrelated,1.00,1243.17,339.10
31,1,1200,other associate unrelated,0.98,1271.75,225.11
31,2,200,first associate related,0.98,1004.76,133.61
31,2,200,other associate related,1.00,1013.61,220.99
31,2,200,first associate unrelated,0.96,1109.67,270.90
31,2,200,other associate unrelated,0.98,1018.66,213.07
31,2,1200,first associate related,1.00,1077.62,206.62
31,2,1200,other associate related,1.00,1044.06,200.87
31,2,1200,first associate unrelated,0.98,1015.98,224.08
31,2,1200,other associate unrelated,0.98,1054.24,167.07
32,1,200,first associate related,0.96,595.42,109.21
32,1,200,other associate related,0.96,624.26,117.30
32,1,200,first associate unrelated,0.98,658.43,121.36
32,1,200,other associate unrelated,0.94,621.88,108.22
32,1,1200,first associate related,0.98,563.92,143.60
32,1,1200,other associate related,1.00,593.37,140.86
32,1,1200,first associate unrelated,0.96,636.50,158.20
32,1,1200,other associate unrelated,0.94,601.49,140.56
32,2,200,first associate related,0.98,1001.47,321.25
32,2,200,other associate related,1.00,1015.35,247.36
32,2,200,first associate unrelated,0.94,974.04,312.87
32,2,200,other associate unrelated,1.00,1086.69,375.71
32,2,1200,first associate related,1.00,706.75,176.21
32,2,1200,other associate related,0.98,688.27,168.39
32,2,1200,first associate unrelated,0.96,669.64,121.02
32,2,1200,other associate unrelated,1.00,726.27,179.60
33,1,200,first associate related,0.98,574.57,254.11
33,1,200,other associate related,0.98,535.31,91.47
33,1,200,first associate unrelated,0.92,596.17,171.90
33,1,200,other associate unrelated,0.96,598.72,155.51
33,1,1200,first associate related,0.96,613.57,199.67
33,1,1200,other associate related,1.00,600.02,93.95
33,1,1200,first associate unrelated,0.90,654.04,173.15
33,1,1200,other associate unrelated,0.96,697.04,195.07
33,2,200,first associate related,0.98,520.73,126.73
33,2,200,other associate related,1.00,526.35,117.93
33,2,200,first associate unrelated,0.96,559.10,114.76
33,2,200,other associate unrelated,0.98,557.47,176.46
33,2,1200,first associate related,1.00,588.20,174.57
33,2,1200,other associate related,1.00,534.71,97.91
33,2,1200,first associate unrelated,1.00,716.58,313.87
33,2,1200,other associate unrelated,0.96,649.86,186.39
34,1,200,first associate related,1.00,635.37,161.83
34,1,200,other associate related,0.98,639.69,130.71
34,1,200,first associate unrelated,1.00,662.27,110.34
34,1,200,other associate unrelated,1.00,653.67,123.64
34,1,1200,first associate related,1.00,577.84,103.65
34,1,1200,other associate related,1.00,575.96,87.93
34,1,1200,first associate unrelated,1.00,619.75,151.43
34,1,1200,other associate unrelated,0.98,594.42,111.74
34,2,200,first associate related,1.00,562.37,70.73
34,2,200,other associate related,1.00,595.37,105.53
34,2,200,first associate unrelated,0.92,631.40,191.24
34,2,200,other associate unrelated,0.98,617.84,113.94
34,2,1200,first associate related,0.96,590.76,130.20
34,2,1200,other associate related,1.00,591.85,130.24
34,2,1200,first associate unrelated,0.98,634.08,151.69
34,2,1200,other associate unrelated,0.96,598.02,125.18
35,1,200,first associate related,0.98,557.14,72.29
35,1,200,other associate related,1.00,594.33,115.53
35,1,200,first associate unrelated,0.87,610.60,135.75
35,1,200,other associate unrelated,0.88,609.64,120.63
35,1,1200,first associate related,0.98,573.55,107.35
35,1,1200,other associate related,0.98,581.47,90.17
35,1,1200,first associate unrelated,0.92,590.46,101.06
35,1,1200,other associate unrelated,0.92,606.25,109.25
